year,amount,Goods Category
2021,27,Other non Market Goods
2022,50,Other non Market Goods
2015,154,Grouped goods
2016,87,Grouped goods
2017,66,Grouped goods
2018,6,Grouped goods
2019,3,Grouped goods
2020,4,Grouped goods
2021,3,Grouped goods
2022,3,Grouped goods
2015,"15,217",Unidentifiable goods
2016,"16,836",Unidentifiable goods
2017,"16,602",Unidentifiable goods
2018,"19,651",Unidentifiable goods
2019,"18,263",Unidentifiable goods
2020,"17,594",Unidentifiable goods
2021,"18,945",Unidentifiable goods
2022,"19,763",Unidentifiable goods
2015,0,Other goods n.e.c.
2016,0,Other goods n.e.c.
2017,0,Other goods n.e.c.
2018,0,Other goods n.e.c.
2019,0,Other goods n.e.c.
2020,0,Other goods n.e.c.
2021,0,Other goods n.e.c.
2022,0,Other goods n.e.c.
