Year,Amount,Type of good
2012,0,Other goods n.e.c.
,,Other goods n.e.c.
2013,5,Other goods n.e.c.
,,Other goods n.e.c.
2014,4,Other goods n.e.c.
,,Other goods n.e.c.
2015,16,Other goods n.e.c.
,,Other goods n.e.c.
2016,0,Other goods n.e.c.
,,Other goods n.e.c.
2017,0,Other goods n.e.c.
,,Other goods n.e.c.
2018,0,Other goods n.e.c.
,,Other goods n.e.c.
2019,0,Other goods n.e.c.
,,Other goods n.e.c.
2020,0,Other goods n.e.c.
,,Other goods n.e.c.
2021,0,Other goods n.e.c.
,,Other goods n.e.c.
2022,0,Other goods n.e.c.
,,Other goods n.e.c.
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
,,
,,Total transported goods
