Year,Amount,Type of good
,,"Food products, beverages and tobacco"
2012,"1,22,375","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2013,"1,13,171","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2014,"1,15,360","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2015,"1,24,106","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2016,"1,26,420","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2017,"1,28,539","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2018,"1,24,811","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2019,"1,30,810","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2020,"1,29,793","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2021,"1,34,873","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2022,"1,42,762","Food products, beverages and tobacco"
,,"Food products, beverages and tobacco"
2008,"3,961",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2009,"3,829",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2010,"5,445",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2011,"5,147",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2012,"4,582",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2013,"4,797",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2014,"4,415",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2015,"4,158",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2016,"4,181",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2017,"3,789",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2018,"3,690",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2019,"5,160",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2020,"3,993",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2021,"3,931",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2022,"3,852",Textiles and textile products; leather and leather products
,,Textiles and textile products; leather and leather products
2008,"28,218",Wood and products
,,Wood and products
2009,"24,190",Wood and products
,,Wood and products
2010,"27,316",Wood and products
,,Wood and products
2011,"26,879",Wood and products
,,Wood and products
2012,"24,747",Wood and products
,,Wood and products
2013,"25,536",Wood and products
,,Wood and products
2014,"26,635",Wood and products
,,Wood and products
2015,"26,720",Wood and products
,,Wood and products
2016,"24,371",Wood and products
,,Wood and products
2017,"24,285",Wood and products
,,Wood and products
2018,"23,962",Wood and products
,,Wood and products
2019,"24,373",Wood and products
,,Wood and products
2020,"24,775",Wood and products
,,Wood and products
2021,"27,893",Wood and products
,,Wood and products
2022,"23,152",Wood and products
,,Wood and products
2008,"7,825",Coke and refined petroleum products
,,Coke and refined petroleum products
2009,"10,258",Coke and refined petroleum products
,,Coke and refined petroleum products
2010,"20,957",Coke and refined petroleum products
,,Coke and refined petroleum products
2011,"15,712",Coke and refined petroleum products
,,Coke and refined petroleum products
2012,"13,533",Coke and refined petroleum products
,,Coke and refined petroleum products
2013,"12,451",Coke and refined petroleum products
,,Coke and refined petroleum products
2014,"10,964",Coke and refined petroleum products
,,Coke and refined petroleum products
2015,"9,195",Coke and refined petroleum products
,,Coke and refined petroleum products
2016,"9,384",Coke and refined petroleum products
,,Coke and refined petroleum products
2017,"10,022",Coke and refined petroleum products
,,Coke and refined petroleum products
2018,"9,950",Coke and refined petroleum products
,,Coke and refined petroleum products
2019,"9,841",Coke and refined petroleum products
,,Coke and refined petroleum products
2020,"9,401",Coke and refined petroleum products
,,Coke and refined petroleum products
2021,"8,884",Coke and refined petroleum products
,,Coke and refined petroleum products
2022,"8,720",Coke and refined petroleum products
,,Coke and refined petroleum products
2008,"48,535","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2009,"54,903","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2010,"59,271","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2011,"61,258","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2012,"65,568","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2013,"59,472","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2014,"57,261","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
,,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
2015,"60,920","Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel"
